,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
0,88.33814320305144,86.98908154985563,87.83039825237162,89.60056053377343,92.93345721749412,91.57523221787241,91.94673763535361,93.33369766323659,97.96037918408253,97.78388435104584,99.8887253185943,97.11928859855183,101.05973144350618,101.86191578480465,103.52130260719119,101.91963676620935,107.18470583322153
1,89.88947364589546,86.74567797868777,91.34023480155376,87.54952772775715,89.64981249433035,91.66057476426914,94.77906361124543,92.62402857600264,94.2952167520073,97.34230668958185,100.07378489784492,99.77575734557686,98.21551268589981,103.46600669683426,100.22947812627113,100.97765298664804,104.47518654222173
2,87.63600401519696,90.3295867032159,88.59412348116109,87.40580572660049,90.93354663508902,93.11291712642499,95.97375573500477,93.84908263956564,96.57194903593481,95.35053970540343,98.77565342147953,97.20052452681054,98.98618738940993,101.35111533648374,102.58910760365178,101.4847672792556,105.80229424102278
3,87.94246830478816,91.18013704880781,88.07170370949702,90.72064930588972,92.64923685138903,90.8668981036811,95.73984730551486,95.68598732165012,96.01838137355792,95.86953560820042,96.39580478905654,96.54126910530364,99.25247303782776,100.94785773561281,100.04458010155236,102.17272088167779,107.67883929096902
4,87.47994525970944,88.52541512254626,89.66810572127739,90.70701740887415,93.51100611891856,94.79082749883476,92.11915640014317,94.39057930125364,94.08631439025744,96.49130801263455,99.89352418523184,97.28776739504329,98.54463746745304,103.6773080910871,100.68152825835386,101.7693465746367,107.0221404660676
5,87.79610400998735,87.88608898150451,88.17508187644049,88.43759011069272,92.85489027778544,91.8289607633846,94.14088198688343,93.48309778163889,94.50541021868497,97.84482825152199,96.93186280535814,98.26647368193218,101.1637891574151,102.39870036176002,100.02280300305718,103.151088508673,104.19749012675354
6,88.60031951170397,89.70238013838191,91.83814139756407,88.08711772880596,90.84431933796598,92.44071282097617,93.02416443420867,93.79486626293897,94.30329157901424,97.9715611201985,100.37610397713352,97.3034187261535,99.7951374074193,102.56356062604998,104.15195056980353,104.14471829466412,106.15254514291249
7,90.81371082126626,91.12798129966265,91.68831714580602,89.9343156413029,92.46376150588678,91.265467115956,95.92418722900379,94.27772776048786,95.35134150168513,95.42905199766771,97.34297945640012,99.2171307762892,99.99860244668838,101.04071889725454,100.02283053842847,101.68893767645217,106.38347387916346
8,87.06009771914137,86.92821139318265,88.49518760729575,91.43396352061364,91.78160631978463,94.45546407623296,95.63561092383196,95.89072620292514,94.83651501720804,95.9476390111521,97.0898553691673,97.39434480851283,100.92154806999395,100.38786061775387,103.91102363007073,101.56810760777039,106.81379542864643
9,90.58882219330964,89.39737285727864,91.13508205965721,88.54006088098288,92.32027746198264,95.00721410768666,91.53518468570194,95.37193296902727,97.20700581140797,94.38772443299378,99.6570787232698,100.56000653164554,97.97044706526485,103.577879096482,102.22842720968633,103.10131142838614,106.80876597313421
10,88.67677732070352,91.01948371272256,90.00535798439846,91.60384360936796,92.6990589377061,90.61222636560342,95.95067380062028,96.60426639907561,97.66648766508119,96.12528838751582,98.81258136887764,97.8124523712156,99.59826020706524,103.03889078523405,103.45295512310281,102.75671496185379,106.63714802911761
11,89.35372168653527,89.39810217373109,89.22989690064911,88.67870620640717,91.68875483980486,90.78555664761036,94.01382568622158,95.14081950783108,94.18177829475967,96.66491201081223,100.37047615659051,98.18018473349721,98.82396162071984,99.62321304890582,103.4615062023939,102.89675343923811,105.00988455873689
12,87.32449976466084,88.99765087276567,88.59833391548922,91.35509995369164,93.16735222351716,91.37987190263445,95.5248792182865,95.31687395919012,98.34726883031546,94.73655173966092,100.51667130918237,99.96547777216804,99.21330896924033,101.45487726788382,102.68365694585178,102.80404730932483,107.62460830475177
13,88.95530225453025,87.91940412811411,87.51936709247356,88.60491162419636,90.94314693381934,92.52706436018937,92.68571387387958,94.1089365070472,94.35019405408694,96.69422878870296,99.06934489741845,97.34398577884548,98.83224763092797,102.28809834264095,100.6025804062804,104.78485683615246,107.0388531581996
14,86.88332492584713,86.91818280530111,90.53993661578272,87.80461402249034,89.46737241911228,94.79614978548763,93.14175301046164,92.58587786008113,97.82220575637736,96.13881884096547,96.68561583478339,96.61142168496329,99.85965428170744,100.38422570518985,101.19679918739159,104.95159644081946,103.44407012832592
