,x,s,y,Demanda,ObjVal,ObjBound,RunTime,NodeCount,Status
0,"[177.74997222009893, 0.0, 179.24995298734348, 0.0, 184.2499502071015, 0.0, 188.24995783412584, 0.0, 192.2499495252645, 0.0, 196.99994463851334, 0.0, 99.49996770679212, 101.49996862284647, 102.24997639102395, 102.99995953110214, 105.49997769859534]","[88.99998354149353, 0.0, 89.49996602379292, 0.0, 92.74997312624158, 0.0, 94.49997338450429, 0.0, 95.9999729850025, 0.0, 98.49996942184669, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[88.74998867860539, 88.99998354149353, 89.74998696355055, 89.49996602379443, 91.4999770808584, 92.74997312624048, 93.74998444961963, 94.49997338450302, 96.24997654025938, 95.99997298500277, 98.49997521666666, 98.49996942184696, 99.49996770679212, 101.49996862284647, 102.24997639102395, 102.99995953110214, 105.49997769859534]",35930.491224221914,35930.49122422177,0.020999908447265625,1.0,1
1,"[177.74997222009893, 0.0, 179.24995298734348, 0.0, 184.2499502071015, 0.0, 188.24995783412584, 0.0, 192.2499495252645, 0.0, 196.99994463851334, 0.0, 99.49996770679212, 101.49996862284647, 102.24997639102395, 102.99995953110214, 105.49997769859534]","[88.99998354149353, 0.0, 89.49996602379292, 0.0, 92.74997312624158, 0.0, 94.49997338450429, 0.0, 95.9999729850025, 0.0, 98.49996942184669, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[88.74998867860539, 88.99998354149353, 89.74998696355055, 89.49996602379443, 91.4999770808584, 92.74997312624048, 93.74998444961963, 94.49997338450302, 96.24997654025938, 95.99997298500277, 98.49997521666666, 98.49996942184696, 99.49996770679212, 101.49996862284647, 102.24997639102395, 102.99995953110214, 105.49997769859534]",35930.491224221914,35930.49122422177,0.010999917984008789,1.0,1
2,"[177.74997222009893, 0.0, 179.24995298734348, 0.0, 184.2499502071015, 0.0, 188.24995783412584, 0.0, 192.2499495252645, 0.0, 196.99994463851334, 0.0, 99.49996770679212, 101.49996862284647, 102.24997639102395, 102.99995953110214, 105.49997769859534]","[88.99998354149353, 0.0, 89.49996602379292, 0.0, 92.74997312624158, 0.0, 94.49997338450429, 0.0, 95.9999729850025, 0.0, 98.49996942184669, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[88.74998867860539, 88.99998354149353, 89.74998696355055, 89.49996602379443, 91.4999770808584, 92.74997312624048, 93.74998444961963, 94.49997338450302, 96.24997654025938, 95.99997298500277, 98.49997521666666, 98.49996942184696, 99.49996770679212, 101.49996862284647, 102.24997639102395, 102.99995953110214, 105.49997769859534]",35930.491224221914,35930.49122422177,0.009000062942504883,1.0,1
3,"[177.74997222009893, 0.0, 179.24995298734348, 0.0, 184.2499502071015, 0.0, 188.24995783412584, 0.0, 192.2499495252645, 0.0, 196.99994463851334, 0.0, 99.49996770679212, 101.49996862284647, 102.24997639102395, 102.99995953110214, 105.49997769859534]","[88.99998354149353, 0.0, 89.49996602379292, 0.0, 92.74997312624158, 0.0, 94.49997338450429, 0.0, 95.9999729850025, 0.0, 98.49996942184669, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[88.74998867860539, 88.99998354149353, 89.74998696355055, 89.49996602379443, 91.4999770808584, 92.74997312624048, 93.74998444961963, 94.49997338450302, 96.24997654025938, 95.99997298500277, 98.49997521666666, 98.49996942184696, 99.49996770679212, 101.49996862284647, 102.24997639102395, 102.99995953110214, 105.49997769859534]",35930.491224221914,35930.49122422177,0.009000062942504883,1.0,1
4,"[177.74997222009893, 0.0, 179.24995298734348, 0.0, 184.2499502071015, 0.0, 188.24995783412584, 0.0, 192.2499495252645, 0.0, 196.99994463851334, 0.0, 99.49996770679212, 101.49996862284647, 102.24997639102395, 102.99995953110214, 105.49997769859534]","[88.99998354149353, 0.0, 89.49996602379292, 0.0, 92.74997312624158, 0.0, 94.49997338450429, 0.0, 95.9999729850025, 0.0, 98.49996942184669, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[88.74998867860539, 88.99998354149353, 89.74998696355055, 89.49996602379443, 91.4999770808584, 92.74997312624048, 93.74998444961963, 94.49997338450302, 96.24997654025938, 95.99997298500277, 98.49997521666666, 98.49996942184696, 99.49996770679212, 101.49996862284647, 102.24997639102395, 102.99995953110214, 105.49997769859534]",35930.491224221914,35930.49122422177,0.009000062942504883,1.0,1
5,"[177.74997222009893, 0.0, 179.24995298734348, 0.0, 184.2499502071015, 0.0, 188.24995783412584, 0.0, 192.2499495252645, 0.0, 196.99994463851334, 0.0, 99.49996770679212, 101.49996862284647, 102.24997639102395, 102.99995953110214, 105.49997769859534]","[88.99998354149353, 0.0, 89.49996602379292, 0.0, 92.74997312624158, 0.0, 94.49997338450429, 0.0, 95.9999729850025, 0.0, 98.49996942184669, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[88.74998867860539, 88.99998354149353, 89.74998696355055, 89.49996602379443, 91.4999770808584, 92.74997312624048, 93.74998444961963, 94.49997338450302, 96.24997654025938, 95.99997298500277, 98.49997521666666, 98.49996942184696, 99.49996770679212, 101.49996862284647, 102.24997639102395, 102.99995953110214, 105.49997769859534]",35930.491224221914,35930.49122422177,0.009000062942504883,1.0,1
6,"[177.74997222009893, 0.0, 179.24995298734348, 0.0, 184.2499502071015, 0.0, 188.24995783412584, 0.0, 192.2499495252645, 0.0, 196.99994463851334, 0.0, 99.49996770679212, 101.49996862284647, 102.24997639102395, 102.99995953110214, 105.49997769859534]","[88.99998354149353, 0.0, 89.49996602379292, 0.0, 92.74997312624158, 0.0, 94.49997338450429, 0.0, 95.9999729850025, 0.0, 98.49996942184669, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[88.74998867860539, 88.99998354149353, 89.74998696355055, 89.49996602379443, 91.4999770808584, 92.74997312624048, 93.74998444961963, 94.49997338450302, 96.24997654025938, 95.99997298500277, 98.49997521666666, 98.49996942184696, 99.49996770679212, 101.49996862284647, 102.24997639102395, 102.99995953110214, 105.49997769859534]",35930.491224221914,35930.49122422177,0.009000062942504883,1.0,1
7,"[177.74997222009893, 0.0, 179.24995298734348, 0.0, 184.2499502071015, 0.0, 188.24995783412584, 0.0, 192.2499495252645, 0.0, 196.99994463851334, 0.0, 99.49996770679212, 101.49996862284647, 102.24997639102395, 102.99995953110214, 105.49997769859534]","[88.99998354149353, 0.0, 89.49996602379292, 0.0, 92.74997312624158, 0.0, 94.49997338450429, 0.0, 95.9999729850025, 0.0, 98.49996942184669, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[88.74998867860539, 88.99998354149353, 89.74998696355055, 89.49996602379443, 91.4999770808584, 92.74997312624048, 93.74998444961963, 94.49997338450302, 96.24997654025938, 95.99997298500277, 98.49997521666666, 98.49996942184696, 99.49996770679212, 101.49996862284647, 102.24997639102395, 102.99995953110214, 105.49997769859534]",35930.491224221914,35930.49122422177,0.009000062942504883,1.0,1
8,"[177.74997222009893, 0.0, 179.24995298734348, 0.0, 184.2499502071015, 0.0, 188.24995783412584, 0.0, 192.2499495252645, 0.0, 196.99994463851334, 0.0, 99.49996770679212, 101.49996862284647, 102.24997639102395, 102.99995953110214, 105.49997769859534]","[88.99998354149353, 0.0, 89.49996602379292, 0.0, 92.74997312624158, 0.0, 94.49997338450429, 0.0, 95.9999729850025, 0.0, 98.49996942184669, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[88.74998867860539, 88.99998354149353, 89.74998696355055, 89.49996602379443, 91.4999770808584, 92.74997312624048, 93.74998444961963, 94.49997338450302, 96.24997654025938, 95.99997298500277, 98.49997521666666, 98.49996942184696, 99.49996770679212, 101.49996862284647, 102.24997639102395, 102.99995953110214, 105.49997769859534]",35930.491224221914,35930.49122422177,0.011999845504760742,1.0,1
9,"[177.74997222009893, 0.0, 179.24995298734348, 0.0, 184.2499502071015, 0.0, 188.24995783412584, 0.0, 192.2499495252645, 0.0, 196.99994463851334, 0.0, 99.49996770679212, 101.49996862284647, 102.24997639102395, 102.99995953110214, 105.49997769859534]","[88.99998354149353, 0.0, 89.49996602379292, 0.0, 92.74997312624158, 0.0, 94.49997338450429, 0.0, 95.9999729850025, 0.0, 98.49996942184669, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[88.74998867860539, 88.99998354149353, 89.74998696355055, 89.49996602379443, 91.4999770808584, 92.74997312624048, 93.74998444961963, 94.49997338450302, 96.24997654025938, 95.99997298500277, 98.49997521666666, 98.49996942184696, 99.49996770679212, 101.49996862284647, 102.24997639102395, 102.99995953110214, 105.49997769859534]",35930.491224221914,35930.49122422177,0.012000083923339844,1.0,1
