,x,s,y,Demanda,ObjVal,ObjBound,RunTime,NodeCount,Status
0,"[177.9999999999987, 0.0, 177.99999999999466, 3.595346242946107e-12, 182.99999999999977, 0.0, 183.99999999999932, 0.0, 189.99999999999955, 0.0, 97.0, 195.99999999999972, 0.0, 100.0, 102.0, 103.0, 105.0, 105.0]","[86.99999999999869, 1.7565947187517248e-12, 88.9999999999964, 0.0, 91.99999999999977, 0.0, 91.99999999999932, 0.0, 94.99999999999955, 0.0, 0.0, 97.99999999999973, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[91, 87, 89, 89, 91, 92, 92, 92, 95, 95, 97, 98, 98, 100, 102, 103, 105, 105]",37925.9999999999,37925.9999999999,0.009999990463256836,1.0,1
1,"[177.0, 0.0, 178.99999999999818, 1.8286501907482567e-12, 186.0, 0.0, 190.0, 0.0, 192.0, 0.0, 98.0, 100.0, 100.0, 100.0, 101.0, 103.0, 105.0]","[88.0, 0.0, 89.99999999999817, 0.0, 95.0, 0.0, 95.0, 0.0, 95.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[89, 88, 89, 90, 91, 95, 95, 95, 97, 95, 98, 100, 100, 100, 101, 103, 105]",35946.0,35946.0,0.008999824523925781,1.0,1
2,"[177.99999999999952, 0.0, 177.99999999999807, 0.0, 181.99999999999952, 0.0, 185.99999999999932, 0.0, 192.99999999999977, 0.0, 197.99999999999977, 0.0, 99.0, 104.0, 102.0, 102.0, 106.0]","[88.99999999999952, 0.0, 87.99999999999807, 0.0, 90.99999999999952, 0.0, 92.99999999999933, 0.0, 95.99999999999979, 0.0, 97.99999999999977, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[89, 89, 90, 88, 91, 91, 93, 93, 97, 96, 100, 98, 99, 104, 102, 102, 106]",35869.99999999991,35869.99999999991,0.009000062942504883,1.0,1
3,"[179.99999999999955, 0.0, 179.99999999999818, 0.0, 185.00000000000136, 0.0, 189.99999999999955, 0.0, 191.99999999999977, 0.0, 195.99999999999977, 0.0, 198.9999999999999, 0.0, 103.0, 102.0, 106.0]","[89.99999999999955, 0.0, 88.99999999999818, 0.0, 92.99999999999955, 0.0, 94.99999999999955, 0.0, 95.99999999999979, 0.0, 97.99999999999977, 0.0, 99.99999999999989, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, -0.0, 1.0, 1.0, 1.0]","[90, 90, 91, 89, 92, 93, 95, 95, 96, 96, 98, 98, 99, 100, 103, 102, 106]",35981.999999999956,35981.999999999956,0.008999824523925781,1.0,1
